,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Year,Location,Average Yearly Temperature (Celsius),TeamA,TeamB,Round,Full-time score TeamA,Full-time score TeamB,TeamA Elo Rating,TeamB Elo Rating,Form of TeamA,Form of TeamB
0,0,0,0,0,1930,Uruguay,17.55,France,Mexico,1,4,1,1000.0,1000.0,Neutral,Neutral
1,1,1,1,1,1930,Uruguay,17.55,Argentina,France,1,1,0,,,Neutral,Neutral
2,2,2,2,2,1930,Uruguay,17.55,Chile,Mexico,1,3,0,,,Neutral,Neutral
3,3,3,3,3,1930,Uruguay,17.55,Chile,France,1,1,0,,,Neutral,Neutral
4,4,4,4,4,1930,Uruguay,17.55,Argentina,Mexico,1,6,3,,,Neutral,Neutral
5,5,5,5,5,1930,Uruguay,17.55,Argentina,Chile,1,3,1,,,Neutral,Neutral
6,6,6,6,6,1930,Uruguay,17.55,Yugoslavia,Brazil,1,2,1,,,Neutral,Neutral
7,7,7,7,7,1930,Uruguay,17.55,Yugoslavia,Bolivia,1,4,0,,,Neutral,Neutral
8,8,8,8,8,1930,Uruguay,17.55,Brazil,Bolivia,1,4,0,,,Neutral,Neutral
9,9,9,9,9,1930,Uruguay,17.55,Romania,Peru,1,3,1,,,Neutral,Neutral
10,10,10,10,10,1930,Uruguay,17.55,Uruguay,Peru,1,1,0,,,Neutral,Neutral
11,11,11,11,11,1930,Uruguay,17.55,Uruguay,Romania,1,4,0,,,Neutral,Neutral
12,12,12,12,12,1930,Uruguay,17.55,United States,Belgium,1,3,0,,,Neutral,Neutral
13,13,13,13,13,1930,Uruguay,17.55,United States,Paraguay,1,3,0,,,Neutral,Neutral
14,14,14,14,14,1930,Uruguay,17.55,Paraguay,Belgium,1,1,0,,,Neutral,Neutral
15,15,15,15,15,1930,Uruguay,17.55,Argentina,United States,2,6,1,,,Neutral,Neutral
16,16,16,16,16,1930,Uruguay,17.55,Uruguay,Yugoslavia,2,6,1,,,Neutral,Neutral
17,17,17,17,17,1930,Uruguay,17.55,Uruguay,Argentina,3,4,2,,,Neutral,Good
